SimID,L,Haploid,monoecious,omega,complete
1,1,TRUE,TRUE,0,0
2,1,TRUE,TRUE,0,0
3,1,TRUE,TRUE,0,0
4,1,TRUE,TRUE,0,0
5,1,TRUE,TRUE,0,0
6,1,TRUE,TRUE,0,0
7,1,TRUE,TRUE,0,0
8,1,TRUE,TRUE,0,0
9,1,TRUE,TRUE,0,0
10,1,TRUE,TRUE,0,0
11,1,TRUE,TRUE,0,0
12,1,TRUE,TRUE,0,0
13,1,TRUE,TRUE,0,0
14,1,TRUE,TRUE,0,0
15,1,TRUE,TRUE,0,0
16,1,TRUE,TRUE,0,0
17,1,TRUE,TRUE,0,0
18,1,TRUE,TRUE,0,0
19,1,TRUE,TRUE,0,0
20,1,TRUE,TRUE,0,0
21,1,TRUE,TRUE,0,0
22,1,TRUE,TRUE,0,0
23,1,TRUE,TRUE,0,0
24,1,TRUE,TRUE,0,0
25,1,TRUE,TRUE,0,0
26,1,TRUE,TRUE,0,0
27,1,TRUE,TRUE,0,0
28,1,TRUE,TRUE,0,0
29,1,TRUE,TRUE,0,0
30,1,TRUE,TRUE,0,0
31,1,TRUE,TRUE,0,0
32,1,TRUE,TRUE,0,0
33,1,TRUE,TRUE,0,0
34,1,TRUE,TRUE,0,0
35,1,TRUE,TRUE,0,0
36,1,TRUE,TRUE,0,0
37,1,TRUE,TRUE,0,0
38,1,TRUE,TRUE,0,0
39,1,TRUE,TRUE,0,0
40,1,TRUE,TRUE,0,0
41,1,TRUE,TRUE,0,0
42,1,TRUE,TRUE,0,0
43,1,TRUE,TRUE,0,0
44,1,TRUE,TRUE,0,0
45,1,TRUE,TRUE,0,0
46,1,TRUE,TRUE,0,0
47,1,TRUE,TRUE,0,0
48,1,TRUE,TRUE,0,0
49,1,TRUE,TRUE,0,0
50,1,TRUE,TRUE,0,0
51,1,TRUE,TRUE,0,0
52,1,TRUE,TRUE,0,0
53,1,TRUE,TRUE,0,0
54,1,TRUE,TRUE,0,0
55,1,TRUE,TRUE,0,0
56,1,TRUE,TRUE,0,0
57,1,TRUE,TRUE,0,0
58,1,TRUE,TRUE,0,0
59,1,TRUE,TRUE,0,0
60,1,TRUE,TRUE,0,0
61,1,TRUE,TRUE,0,0
62,1,TRUE,TRUE,0,0
63,1,TRUE,TRUE,0,0
64,1,TRUE,TRUE,0,0
